	prob_est
	b
v80	
v1	38.22631
v2	32.47388
v3	65.60713
v4	29.15794
v5	-18.27697
v6	10.12744
v7	131.3415
v8	-47.45794
v9	90.66297
v10	-112.6203
v11	43.14189
v12	-46.49847
v13	-3.554356
v14	-1.64502
v15	-2.787272
v16	-2.028541
v17	-1.355671
v18	-2.982184
v19	11.37769
v20	10.77056
v21	14.77927
v22	-.7889008
v23	-1.610421
v24	-.0250382
v25	12.34893
v26	1.467803
v27	.1660447
v28	5.797401
v29	10.32112
v30	2.915616
v31	-20.32727
v32	-16.29027
v33	-9.437848
v34	4.182595
v35	3.222657
v36	8.555774
v37	-5.018422
v38	-6.151454
v39	-5.393298
v40	-13.806
v41	-9.516698
v42	-13.94946
v43	37.83264
v44	36.90751
v45	39.83337
v46	-20.68251
v47	-20.45706
v48	-23.21432
v49	6.304979
v50	-9.855265
v51	2.211084
v52	-7.752275
v53	-.0984292
v54	2.163662
v55	.6960241
v56	2.189742
v57	-4.419229
v58	3.012369
v59	2.491148
v60	.8152411
v61	-3.688908
v62	-3.843392
v63	-7.144292
v64	5.6456
v65	.463015
v66	13.05312
v67	1.100993
v68	.1277391
v69	-.4843843
v70	-4.881991
v71	3.370853
v72	-4.452776
v73	.0925637
v74	-.0790854
v75	-.1770595
v76	.0768466
v77	.0232299
v78	-.1898296
_cons	-64.81838
