	prob_est
	se
v80	
v1	6.832918
v2	3.003586
v3	8.910087
v4	29.35447
v5	11.0134
v6	19.90024
v7	60.45009
v8	22.06973
v9	29.37531
v10	71.72653
v11	25.19659
v12	23.49842
v13	2.347037
v14	1.999983
v15	3.538107
v16	3.876894
v17	3.511255
v18	5.448688
v19	7.623978
v20	6.810742
v21	10.53486
v22	6.300326
v23	5.611086
v24	8.8516
v25	6.634119
v26	5.993315
v27	6.374573
v28	8.9529
v29	8.58867
v30	10.5898
v31	8.856094
v32	8.236188
v33	10.71673
v34	6.651629
v35	5.841356
v36	6.830407
v37	10.73026
v38	10.34074
v39	13.77909
v40	14.85855
v41	14.62756
v42	18.29715
v43	46.75824
v44	45.34745
v45	57.1512
v46	32.99908
v47	32.23847
v48	39.64905
v49	3.395544
v50	2.532469
v51	1.063023
v52	6.335714
v53	3.717106
v54	1.380402
v55	4.139545
v56	3.151935
v57	1.327317
v58	3.395135
v59	2.922674
v60	1.059737
v61	3.026146
v62	2.236427
v63	3.970358
v64	4.866097
v65	3.255048
v66	6.862659
v67	3.770429
v68	2.801405
v69	4.985111
v70	3.278296
v71	2.037963
v72	4.249839
v73	.081781
v74	.1113891
v75	.1118191
v76	.0793204
v77	.0192429
v78	.0768625
_cons	12.5903
